pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
134.09125,-184.1775,90.0,top,D1,,,Diode_DO-35,Diode,tht
334.275,-184.1775,90.0,top,D10,,,Diode_DO-35,Diode,tht
362.85,-184.1775,90.0,top,D11,,,Diode_DO-35,Diode,tht
381.9,-184.1775,90.0,top,D12,,,Diode_DO-35,Diode,tht
401.075644,-183.552547,90.0,top,D13,,,Diode_DO-35,Diode,tht
134.09125,-213.705,90.0,top,D14,,,Diode_DO-35,Diode,tht
153.14125,-213.705,90.0,top,D15,,,Diode_DO-35,Diode,tht
172.19125,-213.705,90.0,top,D16,,,Diode_DO-35,Diode,tht
200.76625,-213.705,90.0,top,D17,,,Diode_DO-35,Diode,tht
219.81625,-213.705,90.0,top,D18,,,Diode_DO-35,Diode,tht
238.86625,-213.705,90.0,top,D19,,,Diode_DO-35,Diode,tht
153.14125,-184.1775,90.0,top,D2,,,Diode_DO-35,Diode,tht
267.44125,-213.705,90.0,top,D20,,,Diode_DO-35,Diode,tht
286.49125,-213.705,90.0,top,D21,,,Diode_DO-35,Diode,tht
305.54125,-213.705,90.0,top,D22,,,Diode_DO-35,Diode,tht
334.11625,-213.705,90.0,top,D23,,,Diode_DO-35,Diode,tht
362.69125,-213.705,90.0,top,D24,,,Diode_DO-35,Diode,tht
381.74125,-213.705,90.0,top,D25,,,Diode_DO-35,Diode,tht
400.79125,-213.705,90.0,top,D26,,,Diode_DO-35,Diode,tht
134.09125,-232.755,90.0,top,D27,,,Diode_DO-35,Diode,tht
153.14125,-232.755,90.0,top,D28,,,Diode_DO-35,Diode,tht
172.19125,-232.755,90.0,top,D29,,,Diode_DO-35,Diode,tht
172.19125,-184.1775,90.0,top,D3,,,Diode_DO-35,Diode,tht
200.76625,-232.755,90.0,top,D30,,,Diode_DO-35,Diode,tht
219.81625,-232.755,90.0,top,D31,,,Diode_DO-35,Diode,tht
238.86625,-232.755,90.0,top,D32,,,Diode_DO-35,Diode,tht
267.44125,-232.755,90.0,top,D33,,,Diode_DO-35,Diode,tht
286.49125,-232.755,90.0,top,D34,,,Diode_DO-35,Diode,tht
305.54125,-232.755,90.0,top,D35,,,Diode_DO-35,Diode,tht
334.11625,-232.755,90.0,top,D36,,,Diode_DO-35,Diode,tht
362.69125,-232.755,90.0,top,D37,,,Diode_DO-35,Diode,tht
381.74125,-232.755,90.0,top,D38,,,Diode_DO-35,Diode,tht
400.79125,-232.755,90.0,top,D39,,,Diode_DO-35,Diode,tht
200.925,-184.1775,90.0,top,D4,,,Diode_DO-35,Diode,tht
134.09125,-261.33,90.0,top,D40,,,Diode_DO-35,Diode,tht
153.14125,-261.33,90.0,top,D41,,,Diode_DO-35,Diode,tht
172.19125,-261.33,90.0,top,D42,,,Diode_DO-35,Diode,tht
200.76625,-261.33,90.0,top,D43,,,Diode_DO-35,Diode,tht
219.81625,-261.33,90.0,top,D44,,,Diode_DO-35,Diode,tht
238.86625,-261.33,90.0,top,D45,,,Diode_DO-35,Diode,tht
267.44125,-261.33,90.0,top,D46,,,Diode_DO-35,Diode,tht
286.49125,-261.33,90.0,top,D47,,,Diode_DO-35,Diode,tht
305.54125,-261.33,90.0,top,D48,,,Diode_DO-35,Diode,tht
334.11625,-261.33,90.0,top,D49,,,Diode_DO-35,Diode,tht
219.975,-184.1775,90.0,top,D5,,,Diode_DO-35,Diode,tht
134.09125,-280.38,90.0,top,D50,,,Diode_DO-35,Diode,tht
153.14125,-280.38,90.0,top,D51,,,Diode_DO-35,Diode,tht
172.19125,-280.38,90.0,top,D52,,,Diode_DO-35,Diode,tht
200.76625,-280.38,90.0,top,D53,,,Diode_DO-35,Diode,tht
219.81625,-280.38,90.0,top,D54,,,Diode_DO-35,Diode,tht
238.86625,-280.38,90.0,top,D55,,,Diode_DO-35,Diode,tht
267.44125,-280.38,90.0,top,D56,,,Diode_DO-35,Diode,tht
